,descrip,total_prediccion_2024
0,RIBB PRETINA,192.35915156963884
0,RIPSTOP LISO,101.8833405729113
0,SATEN ESTAMPADO,110.42807113883363
0,SATEN ITALIANO,409.60724160783434
0,SATEN MILAN,190.5145374578571
0,SATEN POLY,1485.6359945461415
0,SATEN SPANDEX,1113.8797155202974
0,SATEN VALENTINO,251.28061982456583
0,SCUBA CREPE,607.5125646371324
0,SCUBA LISO,175.95801713153486
0,SEDA AMBAR,258.64267442649947
0,SEDA ZUHAIR,166.3413649442317
0,SUECIA ATIGRADO,578.5170620011763
0,SUECIA EMBOSS,7622.815753489476
0,SUECIA EMBOSS ESTAMPADO,408.7511308478222
0,SUPLEX,220.78060350452546
0,TACTEL IMPERMEABLE,2015.2175078746188
0,TAFETA INTELIGENTE,240.54116727391252
0,TAFETA MEMORY,413.2932181619088
0,TAFETA SPANDEX,469.20097247290744
0,TASLAN IMPERMEABLE,159.37615382842336
0,TELA TOALLA,300.648859799398
0,TERCIOPELO,153.42100357100023
0,THERMO SHELL,395.58657282736823
0,TNT 60,1710.8172915539317
0,TNT 70,1102.238380750676
0,TNT 80,2109.305177979654
0,TOALLA MICROFIBRA,104.52882831228342
0,TROPICAL JACQUARD PREMIUM,481.0115121193927
0,TROPICAL MECANICO LISO,16337.74705992454
0,TROPICAL MECANICO PREMIUM,112.81499265252961
0,TROPICAL MECANICO XL,705.9224871917144
0,TUL DE ARMAR XL,264.0442439067645
0,TUL ESTRELLITAS,522.8027933795339
0,TUL GIBRE,607.407910106921
0,TUL ILUSION,994.043019272333
0,TUL ILUSION SOFT,222.20995518829528
0,TUL LOLA,200.34307095776654
0,TUL PLUMETI CHLOE,245.8777218032114
0,TWILL STRETCH,437.05892701643944
0,VISCOLYCRA LISO,128.47087909259764
